severity,issue,evidence,why_it_matters,next_action,status
P0,核心研究问题还没有落成可检验 estimand,"当前方向是“情绪价值的商业化：女性向游戏中的数字亲密关系、品牌依恋与持续消费”，但尚未定义目标比较、单位、暴露和结果。",如果不先定义 estimand，后续问卷、实验和文本分析会各自回答不同问题，最后容易出现结果与论文主张不匹配。,"写一个 1 页 study_design_brief：单位=乙游玩家或玩家-角色关系；暴露=数字亲密关系/角色互动强度/AI披露等；结果=品牌依恋、付费意愿、持续消费、留存意向；明确是描述/机制/因果哪一种。",needs_author
P0,不能直接把“数字亲密关系导致持续消费”写成因果结论,"目前证据主要是文献矩阵和概念链条，还没有随机化、时间顺序、自然实验或强识别设计。",如果只做横截面问卷或访谈，最多支持关联、机制一致性或理论解释，不能支持强因果语言。,"把主张分层：横截面SEM只写关联/机制一致；实验可以识别短期心理机制；若要持续消费因果效应，需要面板/行为日志/实验追踪。",overclaim_risk
P1,研究对象边界需要收窄,"文献矩阵覆盖乙游、AI陪伴、虚拟影响者、服务机器人、品牌关系、虚拟商品等多个对象。",对象太散会导致变量迁移过度：虚拟影响者的拟社会关系、AI陪伴的孤独缓解、乙游角色消费并不是同一个场景。,"先选主对象：国内女性向恋爱手游玩家；次对象仅作理论类比。样本纳入标准写清：过去 3/6 个月玩过乙游、是否付费、是否有主推角色。",needs_author
P1,关键构念存在测量重叠,"情绪价值、享乐价值、品牌体验、品牌爱、品牌依恋、拟社会关系、数字亲密关系高度相近。",测量重叠会导致 SEM 路径虚高、判别效度失败，无法说明到底是“情绪价值”还是“依恋/拟社会关系”在起作用。,"建立构念词典和量表来源表：每个构念写定义、维度、来源量表、示例题项、区别于相邻构念的判据；正式分析前做 CFA/HTMT/AVE/CR。",serious_risk
P1,持续消费结果需要行为化,"目前结果可能被写成持续消费、付费意愿、忠诚、留存意向等多个近义词。",如果只测购买意向，很难支撑“持续消费”；如果用自报付费，需处理回忆误差和社会期许。,"把结果分三层：心理结果=品牌依恋/满意；意向结果=继续游玩/继续付费意愿；行为结果=近30天付费金额、月卡/抽卡次数、连续登录天数或可截图验证的消费区间。",reporting_gap
P1,样本框和外部效度风险高,"乙游玩家群体高度社群化，若从小红书/微博/QQ群滚雪球招募，重度玩家和高情感投入者会过度代表。",便利样本不能泛化到所有女性向游戏用户，更不能泛化到所有游戏消费者。,"记录招募渠道、样本筛选、响应率/剔除规则；报告不同渠道样本差异；主张限定为“受访乙游玩家样本”。",serious_risk
P1,如果使用文本/评论/社群数据，需要验证抽取质量,"后续可能用游戏评论、微博/小红书/论坛文本来测情绪价值或亲密叙事。",LLM或人工编码如果没有 codebook、双人复核或验证样本，文本变量进入模型会有严重测量误差。,"先做 text-as-data protocol：语料来源、时间窗、关键词、去重、抽样、代码本、人工复核比例、LLM prompt/version、precision/recall或一致性指标。",serious_risk
P2,实验操纵需要避免只测“好感”,"可做 AI披露、角色真实感、互动回应、限时活动等实验，但若只测即时好感，无法连接商业化结果。",实验可以提供机制证据，但必须让操纵和理论机制对应，否则只是广告素材偏好测试。,"设计 2x2 或 vignette 实验：AI披露(有/无) x 互动亲密度(高/低) 或 限时活动压力(高/低)；测操纵检查、数字亲密、情绪价值、付费意愿、伦理反感。",needs_design
P2,机制路径需要提前限定,"可能路径包括角色真实感→数字亲密→情绪价值→品牌依恋→持续消费，也可能是情绪价值→依恋，或依恋→情绪价值。",路径太多会导致事后挑选显著路径，审稿时容易被认为 HARKing。,"在设计简报中只保留 1 条主路径和 1-2 条替代路径；把社群归属、孤独感、付费能力、游戏时长作为边界/控制，而不是无限加中介。",needs_author
P2,控制变量可能包含后处理变量,"若把满意度、沉浸、角色依恋、游戏时长等同时作为控制和中介，路径解释会混乱。",后处理控制会吸收真实机制，导致估计含义不清。,"按时间顺序分类变量：先验特征=年龄/收入/游戏经验/孤独倾向；暴露=互动强度/亲密感；机制=情绪价值/依恋；结果=付费/持续意向。",specification_risk
P2,报告标准需要预设,"后续表格若不报告样本、题项、信效度、模型拟合、剔除规则和稳健性，商学论文说服力会弱。",即使结果显著，没有测量和样本透明度也难以通过方法审查。,"预设输出清单：描述统计表、构念相关矩阵、CFA表、SEM主模型、替代模型、共同方法偏差检查、异质性/稳健性、实验操纵检查。",reporting_gap
P2,伦理和操纵风险需要作为边界条件,"主题涉及情绪价值商业化、AI陪伴、数字亲密、付费诱导。",如果只强调商业价值而不处理情感操纵、未成年人、沉迷、隐私，研究容易显得过度营销化。,"加入伦理感知/操纵感/心理脆弱性边界变量；样本排除未成年人或单独处理；讨论平台责任和消费者保护边界。",needs_author
