claim_id,claim_text_or_slot,claim_type,target_inquiry,evidence_path,support_level,interpretation_boundary,diagnosed_limit,risk,author_action,author_boundary,artifact_kind
C01,"乙游消费可以被定位为体验性、享乐性和情绪价值导向的消费，而不仅是功能性娱乐购买。",literature_fact,"conceptual framing: what kind of consumption is otome game consumption?","outputs/乙游_情绪价值_情感消费_数字亲密关系_商学文献矩阵_v4_英文原摘要_中文翻译版.xlsx; Holbrook & Hirschman 1982; Babin et al. 1994; Brakus et al. 2009",strong,"可用于定义研究对象和理论入口；不能单独证明乙游玩家一定持续付费。","经典文献多非游戏场景，需要把体验消费迁移到乙游语境时说明边界。",scale_ambiguity,cite,scaffold_only,scaffold_only
C02,"乙游中的角色、卡牌、账号资产和剧情记忆可被理解为数字化的身份延伸或 loved objects。",interpretation,"how do digital game objects become emotionally meaningful?","outputs/乙游_情绪价值_情感消费_数字亲密关系_商学文献矩阵_v4_英文原摘要_中文翻译版.xlsx; Belk 1988; Belk 2013; Ahuvia 2005; Zhou et al. 2024",partial,"可作为理论解释和访谈编码维度；不能直接推出所有玩家都会形成身份依恋。","虚拟物品所有权受平台控制，和物质所有物不同。",unsupported_mechanism,soften,scaffold_only,scaffold_only
C03,"消费者可以与品牌或品牌化对象形成关系，乙游角色/IP可作为消费者-品牌关系研究的延伸对象。",literature_fact,"how can brand relationship theory support otome character attachment?","outputs/乙游_情绪价值_情感消费_数字亲密关系_商学文献矩阵_v4_英文原摘要_中文翻译版.xlsx; Fournier 1998; Aggarwal 2004; Labrecque 2014; Park et al. 2010; Batra et al. 2012",strong,"可用于搭建品牌关系、品牌依恋、拟社会互动的理论桥梁；需区分角色、游戏品牌和平台运营者。","品牌关系文献不等于虚拟恋爱关系文献，需避免概念混用。",wrong_estimand,cite,scaffold_only,scaffold_only
C04,"数字亲密关系可能通过情绪价值影响品牌依恋和持续消费意向。",interpretation,"main proposed mechanism: digital intimacy -> emotional value -> brand attachment -> continued consumption","outputs/乙游主题_methods_review_issue_table.csv; outputs/乙游_情绪价值_情感消费_数字亲密关系_商学文献矩阵_v4_英文原摘要_中文翻译版.xlsx",partial,"目前只能作为理论模型或研究假设；若只有横截面问卷，不能写成因果链条。","没有研究设计和数据时，路径方向未被验证。",causal_language,soften,needs_author_decision,scaffold_only
C05,"AI陪伴和虚拟影响者文献说明非真人代理人也可能触发亲密感、情感参与和消费者反应。",literature_fact,"how do AI companions and virtual influencers inform digital intimacy in otome games?","outputs/乙游_情绪价值_情感消费_数字亲密关系_商学文献矩阵_v4_英文原摘要_中文翻译版.xlsx; De Freitas et al. 2025 JCR; Mouritzen et al. 2024; Sorosrungruang et al. 2024; Wirtz & Stock-Homburg 2025; Tian et al. 2025",strong,"可作为近年理论前沿和机制类比；不能把AI陪伴结果直接等同于乙游角色消费。","AI陪伴、虚拟影响者和乙游角色的交互制度不同。",missing_citation,cite,scaffold_only,scaffold_only
C06,"乙游玩家社群和二创/委托实践可能共同生产亲密感，而不是由平台单向提供。",literature_fact,"what role do communities and fan practices play in intimacy production?","outputs/乙游_情绪价值_情感消费_数字亲密关系_商学文献矩阵_v4_英文原摘要_中文翻译版.xlsx; Zhou et al. 2024; Kozinets 2002",partial,"可用于质性探索和netnography设计；不能作为总体玩家行为比例证据。","Zhou et al. 为预印本/特定实践，外推需谨慎。",external_validity,soften,scaffold_only,scaffold_only
C07,"本研究应将持续消费拆分为意向、自报行为和可验证行为三个层次。",design_fact,"how should continued consumption be measured?","outputs/乙游主题_methods_review_issue_table.csv",strong,"可用于方法设计和变量表；不是文献发现。","需要作者决定数据可获得性。",scale_ambiguity,decide,needs_author_decision,decision_prompt
C08,"如果研究只使用横截面问卷，论文主张应限定为关联和机制一致性，而非因果效应。",diagnostic,"what causal language is allowed by the likely design?","outputs/乙游主题_methods_review_issue_table.csv",strong,"可用于写作边界和limitations；不是实证结果。","若后续加入实验或面板数据，该边界可重新评估。",causal_language,revise_target,scaffold_only,scaffold_only
C09,"本研究的潜在贡献之一是把情绪价值、数字亲密关系和品牌依恋连接到女性向游戏商业化场景。",interpretation,"what is the contribution slot?","outputs/乙游_情绪价值_情感消费_数字亲密关系_商学文献矩阵_v4_英文原摘要_中文翻译版.xlsx; outputs/乙游主题_methods_review_next_steps.md",partial,"可作为贡献候选；必须在引言中说明相对既有品牌关系、AI陪伴、虚拟影响者文献的增量。","贡献边界取决于最终数据设计。",overclaim,decide,needs_author_decision,scaffold_only
C10,"情绪价值商业化也包含情感操纵、付费压力、隐私和心理脆弱性等伦理风险。",interpretation,"what ethical boundary should the paper include?","outputs/乙游主题_methods_review_issue_table.csv; outputs/乙游_情绪价值_情感消费_数字亲密关系_商学文献矩阵_v4_英文原摘要_中文翻译版.xlsx; De Freitas et al. 2025 emotional manipulation working paper",partial,"可作为讨论和边界条件；除非专门测量，否则不能写成主效应结论。","伦理风险目前主要来自理论和邻近文献，缺少乙游场景直接证据。",unsupported_mechanism,add_evidence,needs_author_decision,scaffold_only
